Event,Tm,J1,J2,St,S,n,Q
J2,43.36069220448731,41.77874317495133,44.043308302138286,43.410041312274664,1,16,"J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2"
E,43.410041312274664,41.77874317495133,44.043308302138286,43.410041312274664,1,17,"J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2"
J1,44.177353366676286,45.21259640927375,44.043308302138286,45.29887164015826,1,16,"J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2"
J1,44.54427717700433,47.28956605020673,44.043308302138286,45.29887164015826,1,17,"J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1"
E,45.29887164015826,47.28956605020673,44.043308302138286,45.29887164015826,1,18,"J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1"
J1,46.484309455276104,47.516155880317285,44.043308302138286,47.604880030343715,1,17,"J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1"
J1,46.582585003393575,46.946375674965445,44.043308302138286,47.604880030343715,1,18,"J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1"
J1,46.802456560540485,49.97514480245815,44.043308302138286,47.604880030343715,1,19,"J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1"
E,47.604880030343715,49.97514480245815,44.043308302138286,47.604880030343715,1,20,"J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1"
J1,49.23890299011623,49.89598320185519,44.043308302138286,50.07597067958011,1,19,"J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1"
J1,49.71766498222318,50.2385995345194,44.043308302138286,50.07597067958011,1,20,"J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1"
J1,50.061143216903,50.309928232699924,44.043308302138286,50.07597067958011,1,21,"J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1"
E,50.07597067958011,50.309928232699924,44.043308302138286,50.07597067958011,1,22,"J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1"
J1,50.10494934365138,50.51434004974884,44.043308302138286,51.914241984967695,1,21,"J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1"
J2,50.19103024469087,50.51434004974884,60.17571021880971,51.914241984967695,1,22,"J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1"
E,51.914241984967695,50.51434004974884,60.17571021880971,51.914241984967695,1,23,"J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2"
J1,52.22934337905755,54.50108037405823,60.17571021880971,54.02087813194444,1,22,"J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2"
J2,53.52670962307405,54.50108037405823,54.57482685448476,54.02087813194444,1,23,"J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1"
J2,53.778120709713455,54.50108037405823,54.34682354429056,54.02087813194444,1,24,"J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2"
J1,53.86322784971716,55.53359981995192,54.34682354429056,54.02087813194444,1,25,"J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2"
E,54.02087813194444,55.53359981995192,54.34682354429056,54.02087813194444,1,26,"J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1"
J1,54.62460774825373,55.18184828447559,54.34682354429056,56.56271364145527,1,25,"J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1"
J2,54.728260649389235,55.18184828447559,60.92364163065459,56.56271364145527,1,26,"J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1"
J1,55.21614037892987,55.79354372445204,60.92364163065459,56.56271364145527,1,27,"J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2"
J2,55.82835368991635,55.79354372445204,63.50381212153721,56.56271364145527,1,28,"J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1"
E,56.56271364145527,55.79354372445204,63.50381212153721,56.56271364145527,1,29,"J1, J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2"
J2,57.54249203891173,55.79354372445204,59.67525044886483,58.32275560375165,1,28,"J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2"
J1,57.708987154924095,60.207164733643204,59.67525044886483,58.32275560375165,1,29,"J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2"
